id,day,day_run_label,index
1000,1/1/16 0:00,20160101 00 Zulu,2016010100
1001,1/1/16 6:00,20160101 06 Zulu,2016010106
1002,1/1/16 12:00,20160101 12 Zulu,2016010112
1003,1/1/16 18:00,20160101 18 Zulu,2016010118
999999,1/1/28 0:00,20280101 00 Zulu,2028010100
