longitude,index,date_valid_start_id,date_valid_end_id
116.1,258,1000,999999
116.549995,259,1000,999999
117,260,1000,999999
117.45,261,1000,999999
117.899994,262,1000,999999
118.35,263,1000,999999
118.799995,264,1000,999999
119.25,265,1000,999999
119.7,266,1000,999999
120.149994,267,1000,999999
120.6,268,1000,999999
121.049995,269,1000,999999
121.5,270,1000,999999
121.95,271,1000,999999
122.399994,272,1000,999999
122.85,273,1000,999999
123.299995,274,1000,999999
123.75,275,1000,999999
124.2,276,1000,999999
124.649994,277,1000,999999
125.1,278,1000,999999
125.549995,279,1000,999999
126,280,1000,999999
126.45,281,1000,999999
126.899994,282,1000,999999
127.35,283,1000,999999
127.799995,284,1000,999999
128.25,285,1000,999999
128.7,286,1000,999999
129.15,287,1000,999999
129.59999,288,1000,999999
130.05,289,1000,999999
130.5,290,1000,999999
130.95,291,1000,999999
131.4,292,1000,999999
131.84999,293,1000,999999
132.3,294,1000,999999
132.75,295,1000,999999
133.2,296,1000,999999
133.65,297,1000,999999
134.09999,298,1000,999999
134.55,299,1000,999999
135,300,1000,999999
135.45,301,1000,999999
135.9,302,1000,999999
136.34999,303,1000,999999
136.8,304,1000,999999
137.25,305,1000,999999
137.7,306,1000,999999
138.15,307,1000,999999
138.59999,308,1000,999999
139.05,309,1000,999999
139.5,310,1000,999999
139.95,311,1000,999999
140.4,312,1000,999999
140.84999,313,1000,999999
141.3,314,1000,999999
141.75,315,1000,999999
142.2,316,1000,999999
142.65,317,1000,999999
143.09999,318,1000,999999
143.55,319,1000,999999
144,320,1000,999999
144.45,321,1000,999999
144.9,322,1000,999999
145.34999,323,1000,999999
145.8,324,1000,999999
146.25,325,1000,999999
146.7,326,1000,999999
147.15,327,1000,999999
147.59999,328,1000,999999
148.05,329,1000,999999
148.5,330,1000,999999
148.95,331,1000,999999
149.4,332,1000,999999
149.84999,333,1000,999999
150.3,334,1000,999999
150.75,335,1000,999999
151.2,336,1000,999999
151.65,337,1000,999999
152.09999,338,1000,999999
