pressure,altitude,index,date_valid_start_id,date_valid_end_id
100,53083,100,1000,999999
150,44647,150,1000,999999
180,40850,180,1000,999999
200,38662,200,1000,999999
230,35750,230,1000,999999
250,33999,250,1000,999999
270,32350,270,1000,999999
300,30065,300,1000,999999
350,26630,350,1000,999999
400,7185,400,1000,999999
500,5574,500,1000,999999
600,4206,600,1000,999999
700,3012,700,1000,999999
850,1457,850,1000,999999
925,2512,925,1000,999999
1000,364,1000,1000,999999
