latitude,index,date_valid_start_id,date_valid_end_id
-17.699997,241,1000,999999
-17.399994,242,1000,999999
-17.099998,243,1000,999999
-16.799995,244,1000,999999
-16.5,245,1000,999999
-16.199997,246,1000,999999
-15.899994,247,1000,999999
-15.599998,248,1000,999999
-15.299995,249,1000,999999
-15,250,1000,999999
-14.699997,251,1000,999999
-14.399994,252,1000,999999
-14.099998,253,1000,999999
-13.799995,254,1000,999999
-13.5,255,1000,999999
-13.199997,256,1000,999999
-12.899994,257,1000,999999
-12.599998,258,1000,999999
-12.299995,259,1000,999999
-12,260,1000,999999
-11.699997,261,1000,999999
-11.399994,262,1000,999999
-11.099998,263,1000,999999
-10.799995,264,1000,999999
-10.5,265,1000,999999
-10.199997,266,1000,999999
-9.899994,267,1000,999999
-9.599998,268,1000,999999
-9.299995,269,1000,999999
-9,270,1000,999999
-8.699997,271,1000,999999
-8.399994,272,1000,999999
-8.099998,273,1000,999999
-7.7999954,274,1000,999999
-7.5,275,1000,999999
-7.199997,276,1000,999999
-6.899994,277,1000,999999
-6.5999985,278,1000,999999
-6.2999954,279,1000,999999
-6,280,1000,999999
-5.699997,281,1000,999999
-5.399994,282,1000,999999
-5.0999985,283,1000,999999
-4.7999954,284,1000,999999
-4.5,285,1000,999999
-4.199997,286,1000,999999
-3.899994,287,1000,999999
-3.5999985,288,1000,999999
-3.2999954,289,1000,999999
-3,290,1000,999999
-2.699997,291,1000,999999
-2.399994,292,1000,999999
-2.0999985,293,1000,999999
-1.7999954,294,1000,999999
-1.5,295,1000,999999
-1.199997,296,1000,999999
-0.8999939,297,1000,999999
-0.5999985,298,1000,999999
-0.29999542,299,1000,999999
0,300,1000,999999
0.30000305,301,1000,999999
0.6000061,302,1000,999999
0.9000015,303,1000,999999
1.2000046,304,1000,999999
1.5,305,1000,999999
1.800003,306,1000,999999
2.100006,307,1000,999999
2.4000015,308,1000,999999
2.7000046,309,1000,999999
3,310,1000,999999
3.300003,311,1000,999999
3.600006,312,1000,999999
3.9000015,313,1000,999999
4.2000046,314,1000,999999
4.5,315,1000,999999
4.800003,316,1000,999999
5.100006,317,1000,999999
5.4000015,318,1000,999999
5.7000046,319,1000,999999
6,320,1000,999999
6.300003,321,1000,999999
6.600006,322,1000,999999
6.9000015,323,1000,999999
7.2000046,324,1000,999999
7.5000076,325,1000,999999
7.800003,326,1000,999999
8.100006,327,1000,999999
8.400002,328,1000,999999
8.700005,329,1000,999999
9.000008,330,1000,999999
9.300003,331,1000,999999
9.600006,332,1000,999999
9.900002,333,1000,999999
10.200005,334,1000,999999
10.500008,335,1000,999999
10.800003,336,1000,999999
11.100006,337,1000,999999
11.400002,338,1000,999999
11.700005,339,1000,999999
12.000008,340,1000,999999
12.300003,341,1000,999999
12.600006,342,1000,999999
12.900002,343,1000,999999
13.200005,344,1000,999999
13.500008,345,1000,999999
13.800003,346,1000,999999
14.100006,347,1000,999999
14.400002,348,1000,999999
14.700005,349,1000,999999
15.000008,350,1000,999999
15.300003,351,1000,999999
15.600006,352,1000,999999
15.900002,353,1000,999999
16.200005,354,1000,999999
16.500008,355,1000,999999
16.800003,356,1000,999999
17.100006,357,1000,999999
17.400002,358,1000,999999
17.700005,359,1000,999999
18.000008,360,1000,999999
18.300003,361,1000,999999
18.600006,362,1000,999999
18.900002,363,1000,999999
19.200005,364,1000,999999
19.500008,365,1000,999999
19.800003,366,1000,999999
20.100006,367,1000,999999
20.400002,368,1000,999999
20.700005,369,1000,999999
21.000008,370,1000,999999
21.300003,371,1000,999999
21.600006,372,1000,999999
21.900002,373,1000,999999
22.200005,374,1000,999999
22.500008,375,1000,999999
22.800003,376,1000,999999
23.100006,377,1000,999999
23.400002,378,1000,999999
23.700005,379,1000,999999
24.000008,380,1000,999999
24.300003,381,1000,999999
24.600006,382,1000,999999
24.900002,383,1000,999999
25.200005,384,1000,999999
25.500008,385,1000,999999
25.800003,386,1000,999999
26.100006,387,1000,999999
26.400002,388,1000,999999
26.700005,389,1000,999999
27.000008,390,1000,999999
27.300003,391,1000,999999
27.600006,392,1000,999999
27.900002,393,1000,999999
28.200005,394,1000,999999
28.500008,395,1000,999999
28.800003,396,1000,999999
29.100006,397,1000,999999
29.400002,398,1000,999999
29.700005,399,1000,999999
30.000008,400,1000,999999
30.300003,401,1000,999999
30.600006,402,1000,999999
30.900002,403,1000,999999
31.200005,404,1000,999999
31.500008,405,1000,999999
31.800003,406,1000,999999
32.100006,407,1000,999999
32.4,408,1000,999999
32.700005,409,1000,999999
33.000008,410,1000,999999
33.300003,411,1000,999999
33.600006,412,1000,999999
33.9,413,1000,999999
34.200005,414,1000,999999
34.500008,415,1000,999999
34.800003,416,1000,999999
35.100006,417,1000,999999
35.4,418,1000,999999
35.700005,419,1000,999999
36.000008,420,1000,999999
36.300003,421,1000,999999
36.600006,422,1000,999999
36.9,423,1000,999999
37.200005,424,1000,999999
37.500008,425,1000,999999
37.800003,426,1000,999999
38.100006,427,1000,999999
38.40001,428,1000,999999
38.700012,429,1000,999999
39,430,1000,999999
39.300003,431,1000,999999
39.600006,432,1000,999999
39.90001,433,1000,999999
40.200012,434,1000,999999
40.5,435,1000,999999
40.800003,436,1000,999999
41.100006,437,1000,999999
41.40001,438,1000,999999
41.700012,439,1000,999999
42,440,1000,999999
42.300003,441,1000,999999
42.600006,442,1000,999999
42.90001,443,1000,999999
43.200012,444,1000,999999
43.5,445,1000,999999
43.800003,446,1000,999999
44.100006,447,1000,999999
44.40001,448,1000,999999
44.700012,449,1000,999999
45,450,1000,999999
45.300003,451,1000,999999
45.600006,452,1000,999999
45.90001,453,1000,999999
46.200012,454,1000,999999
46.5,455,1000,999999
46.800003,456,1000,999999
47.100006,457,1000,999999
47.40001,458,1000,999999
47.700012,459,1000,999999
48,460,1000,999999
48.300003,461,1000,999999
48.600006,462,1000,999999
48.90001,463,1000,999999
49.200012,464,1000,999999
49.5,465,1000,999999
49.800003,466,1000,999999
50.100006,467,1000,999999
50.40001,468,1000,999999
50.700012,469,1000,999999
51,470,1000,999999
51.300003,471,1000,999999
51.600006,472,1000,999999
51.90001,473,1000,999999
52.200012,474,1000,999999
52.5,475,1000,999999
52.800003,476,1000,999999
53.100006,477,1000,999999
53.40001,478,1000,999999
53.700012,479,1000,999999
54,480,1000,999999
54.300003,481,1000,999999
54.600006,482,1000,999999
54.90001,483,1000,999999
55.200012,484,1000,999999
55.5,485,1000,999999
55.800003,486,1000,999999
56.100006,487,1000,999999
56.40001,488,1000,999999
56.700012,489,1000,999999
57,490,1000,999999
57.300003,491,1000,999999
